epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1539.03,0.92687,3.78074,1.18524,0.63706,0.51771,0.58231,0.48336,0.58765,2.21924,0.93316,0.0667587,1.6629e-05,1.6629e-05
2,2036.36,0.73133,2.13267,1.05774,0.79893,0.63356,0.72099,0.60239,0.52628,1.50455,0.89663,0.0334404,3.16309e-05,3.16309e-05
3,2421.36,0.66383,1.74138,1.02097,0.82705,0.71576,0.77966,0.65528,0.49208,1.25855,0.88059,0.000120381,4.49663e-05,4.49663e-05
4,2867.79,0.61315,1.48062,0.98744,0.83183,0.716,0.79137,0.6622,0.47492,1.21412,0.8785,4.25004e-05,4.25004e-05,4.25004e-05
5,3252.57,0.59933,1.40245,0.97399,0.87991,0.72366,0.80612,0.68263,0.46785,1.1012,0.88084,4.00005e-05,4.00005e-05,4.00005e-05
6,3636.84,0.56718,1.27071,0.97048,0.90271,0.74631,0.83447,0.71189,0.45123,1.01728,0.86179,3.75006e-05,3.75006e-05,3.75006e-05
7,4020.79,0.55481,1.22506,0.94819,0.91551,0.75455,0.84047,0.72417,0.43409,0.97703,0.85013,3.50008e-05,3.50008e-05,3.50008e-05
8,4457.86,0.54409,1.13437,0.94128,0.91246,0.77779,0.85318,0.73731,0.42119,0.91892,0.8473,3.25009e-05,3.25009e-05,3.25009e-05
9,4841.87,0.51506,1.07547,0.92468,0.92888,0.77996,0.85162,0.73559,0.4264,0.91349,0.85707,3.0001e-05,3.0001e-05,3.0001e-05
10,5284.96,0.49688,1.00444,0.91494,0.9042,0.78775,0.85375,0.74008,0.41286,0.91277,0.85376,2.75011e-05,2.75011e-05,2.75011e-05
11,5809.31,0.46657,0.91471,0.9035,0.93375,0.78996,0.86156,0.74775,0.41093,0.83171,0.85307,2.50013e-05,2.50013e-05,2.50013e-05
12,6256.73,0.45518,0.87287,0.89094,0.94755,0.79117,0.87047,0.75888,0.40241,0.81113,0.84437,2.25014e-05,2.25014e-05,2.25014e-05
13,6700.98,0.45513,0.84726,0.88887,0.89631,0.8256,0.87309,0.75556,0.4005,0.81913,0.84354,2.00015e-05,2.00015e-05,2.00015e-05
14,7089.92,0.44246,0.83498,0.87976,0.94152,0.77942,0.86948,0.75491,0.39523,0.8177,0.84662,1.75016e-05,1.75016e-05,1.75016e-05
15,7535.4,0.43431,0.81133,0.87952,0.90704,0.80962,0.87671,0.75977,0.39044,0.78978,0.84227,1.50018e-05,1.50018e-05,1.50018e-05
16,7978.39,0.42719,0.79398,0.86963,0.91711,0.81416,0.87723,0.7632,0.39019,0.77786,0.84252,1.25019e-05,1.25019e-05,1.25019e-05
17,8444.41,0.42045,0.76363,0.86906,0.92409,0.81156,0.8778,0.77057,0.38255,0.76352,0.84052,1.0002e-05,1.0002e-05,1.0002e-05
18,8908.8,0.41898,0.75407,0.86647,0.93126,0.81833,0.88033,0.77469,0.3751,0.72463,0.83962,7.50213e-06,7.50213e-06,7.50213e-06
19,9372.48,0.41233,0.72481,0.8673,0.924,0.82369,0.88207,0.77554,0.37218,0.71302,0.8364,5.00225e-06,5.00225e-06,5.00225e-06
20,9761.93,0.41477,0.71349,0.8711,0.93514,0.81072,0.88208,0.77417,0.37103,0.71506,0.83537,2.50238e-06,2.50238e-06,2.50238e-06
